Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,wWOBA Change
Kazuma Okamoto TOR,R,0.001535494,0,0.060748457,0.129421296,-0.011666667,0,9.682988658,0.015254914,0.133324033,0.134849492,0.015429457,0.332709716,1.011441744,0.003763716
Addison Barger TOR,L,0.003921188,-0.006687373,0.064592837,0.138464525,-0.025676017,0,9.682985713,0.015160934,0.133231688,0.129805846,0.014771094,0.320374658,0.974286586,-0.008455342
Steven Kwan CLE,L,0.020576382,0.018017807,0.068767573,0.150687285,-0.041579194,0,9.68299523,0.014832109,0.132902772,0.130498516,0.014563791,0.322480736,0.981909665,-0.005941264
Alec Bohm PHI,R,-0.00721459,-0.022029405,0.061814092,0.139029485,0.012068772,0,9.683010272,0.014450523,0.132520727,0.128239655,0.0139837,0.317353665,0.967695077,-0.010594335
Royce Lewis MIN,R,0.005763659,-0.006664877,0.058744982,0.134011171,0.013374935,0,9.683019313,0.014247195,0.132318361,0.129015391,0.013891552,0.319515957,0.975037709,-0.008180043
Jazz Chisholm Jr. NYA,L,0.028675279,-0.006804825,0.058836569,0.135545024,0.015116955,0,9.683009834,0.014108024,0.132177725,0.12924573,0.013795077,0.320257814,0.977817784,-0.007265186
Daylen Lile WAS,L,0.015382822,-0.003660373,0.058369859,0.135400541,-0.063005689,0,9.683001446,0.01401087,0.132081384,0.128587076,0.013640202,0.318740345,0.973544282,-0.008661655
Kyle Stowers MIA,L,0.005780783,-0.00782851,0.060389953,0.141147023,-0.049235025,0,9.683023145,0.013905833,0.131975985,0.128743345,0.013565222,0.31925575,0.975505848,-0.00801625
Austin Dean NA,R,0.0016,-0.032,0.056,0.132,-0.0492,0,9.678571429,0.014,0.132,0.133396228,0.014148085,0.330589203,1.010577488,0.003460203
Luis Arraez SFN,L,0.004532609,-0.038355206,0.063245342,0.149301242,-0.008427019,0,9.682994211,0.013767547,0.131837863,0.131156641,0.013696408,0.325409834,0.994832877,-0.001690166
Jo Adell LAA,R,0.003804182,-0.015471597,0.056340303,0.134146998,-0.038371175,0,9.682971488,0.013650196,0.131718523,0.128222797,0.013287929,0.318275874,0.973460632,-0.008677126
Heliot Ramos SFN,R,0.001676812,-0.031126748,0.058209561,0.138681925,-0.054393312,0,9.683032082,0.013641799,0.131712216,0.130406367,0.013506549,0.323701553,0.99008559,-0.003241447
