Full Name,Bats,BaseRunning,UZR,BattingRuns,ReplacementRuns,DEF_adj,FramingRuns,Runs/WAR,BattingRuns/PA,wRC/PA,Updated wRC/PA,Updated BattingRuns/PA,Update wOBA,% Change,col_CL
Kyle Stowers MIA,L,0.003837263,-0.007808803,-0.048220065,0.141146556,-0.049241794,0,9.683536984,-0.011101761,0.106962217,0.10537951,-0.010937489,0.291827014,0.985203113,
Jamie Westbrook NA,R,-0.001461538,-0.013846154,-0.045384615,0.133076923,0.016692308,0,9.682274247,-0.011099124,0.106852584,0.106707105,-0.011084013,0.295759776,0.998638506,
Jake Rogers DET,R,0.001745432,0.00415879,-0.043352237,0.125897921,0.083358538,0.075327046,9.682935457,-0.011193952,0.10687946,0.105067134,-0.011004139,0.291074196,0.983043267,
Jonah Heim OAK,B,-0.007641921,-0.018195051,-0.045123726,0.129548763,0.083318777,-0.009797101,9.683031085,-0.011320381,0.106740234,0.106502616,-0.01129518,0.295274215,0.997773871,
Nathan Nankil OAK,R,0,0,-0.042857143,0.142857143,-0.052857143,0,9.705882353,-0.01,0.106666667,0.105581434,-0.009898259,0.292922162,0.989825947,
Maxwell Anderson DET,R,0.003846154,0,-0.046153846,0.131868132,0.016703297,0,9.68452679,-0.011375294,0.106711089,0.107613665,-0.011471507,0.298337209,1.008458124,
Jazz Chisholm Jr. NYA,L,0.016377536,-0.006813448,-0.047603646,0.135548368,0.015119083,0,9.682976735,-0.011413483,0.106655089,0.104477694,-0.011180474,0.289782706,0.979584703,
Armando Alvarez OAK,R,-0.000222222,-0.033333333,-0.046666667,0.132222222,0.016777778,0,9.687010955,-0.011426935,0.106651393,0.106384903,-0.011398382,0.295031955,0.997501293,
Jadher Areinamo TBA,R,0.008461538,0,-0.046153846,0.130769231,0.016153846,0,9.659863946,-0.011773908,0.105965168,0.104372018,-0.011596891,0.291324184,0.984965341,
Willie MacIver TEX,R,0.003442029,-0.013043478,-0.045289855,0.128985507,0.083369565,-0.048357142,9.682847994,-0.011426768,0.106588889,0.104267286,-0.011177882,0.289324926,0.978219091,
Michael Toglia CIN,B,0.000519481,-0.005519481,-0.047727273,0.133766234,-0.083409091,0,9.733333333,-0.011590037,0.106517961,0.106037644,-0.011537775,0.294288965,0.995490745,
Thairo Estrada BAL,R,0.00396789,-0.001605505,-0.048623853,0.135779817,0.016651376,0,9.682075082,-0.011635079,0.106417065,0.105452477,-0.011529616,0.292849268,0.990935776,
Javier Baez DET,R,0.005615385,0.002912088,-0.04532967,0.125714286,0.027972527,0,9.68319017,-0.011717171,0.106349304,0.104287572,-0.011490017,0.289720323,0.980613587,
Brandon Lockridge MIL,R,0.011380042,-0.005944798,-0.047133758,0.130573248,-0.027770701,0,9.683714344,-0.011724373,0.106311548,0.105907263,-0.011679788,0.294304536,0.996197165,
Franklin Arias BOS,R,0,0,-0.057142857,0.142857143,0.052857143,0,9.7,-0.013333333,0.106666667,0.111428073,-0.013928509,0.308348986,1.044638182,
Brice Turang MIL,L,0.012837414,-0.002856246,-0.052981795,0.143816698,0.017740113,0,9.682893964,-0.011972429,0.106099271,0.108298274,-0.012220569,0.301248876,1.020725899,
Alan Roden MIN,L,0.003815621,-0.004500703,-0.048271447,0.130473752,-0.055825864,0,9.681709754,-0.012029335,0.106030455,0.105266658,-0.011942681,0.292917642,0.992796447,
Alejo Lopez SEA,B,0.00125,-0.025,-0.05,0.125,0.01625,0,9.642857143,-0.012903226,0.106451613,0.105135308,-0.012743674,0.291179403,0.987634709,
Kristian Robinson ARI,R,0.005,0,-0.04954955,0.131531532,-0.04990991,0,9.682352941,-0.012247764,0.10588749,0.106953355,-0.012371051,0.297792714,1.010066019,
Tristin English ATL,R,0.001333333,0.002222222,-0.048888889,0.131111111,-0.082888889,0,10,-0.012197807,0.105899144,0.104464834,-0.012032599,0.290784507,0.986455887,
Dairon Blanco TEX,R,0.014705882,-0.008144796,-0.049321267,0.130769231,-0.049954751,0,9.677790564,-0.012237839,0.105761876,0.104912613,-0.01213957,0.2923921,0.99197005,
Diego Rincones NA,R,0,0,-0.057142857,0.142857143,-0.052857143,0,9.583333333,-0.013333333,0.106666667,0.10664536,-0.01333067,0.294663128,0.999800246,
Matthew Kroon NA,R,0.001428571,0,-0.057142857,0.142857143,-0.052857143,0,9.6,-0.013333333,0.106666667,0.106520578,-0.013315072,0.294307368,0.998630414,
Kris Bryant COL,R,-0.003454545,0.001111111,-0.051636364,0.136,-0.105509091,0,9.680464779,-0.012331714,0.105731419,0.104681471,-0.012209256,0.29176858,0.990069665,
Xavier FernÃ¡ndez NA,R,0,0,-0.057142857,0.142857143,-0.088571429,0,10,-0.013333333,0.106666667,0.106840773,-0.013355097,0.295007741,1.001632248,
