Full Name,Hand,WAR/GS,ERA,xWAR/GS,SIERA,ERA Change,bpWAR/GS,WAR/IP,Updated WAR/GS,Updated xWAR/GS,Updated WAR/IP,Updated ERA
Framber Valdez DET,L,0.134428203,3.3801,0.123880002,3.24,0.083999746,0.043466667,0.021733334,0.131087492,0.120801428,0.021193233,3.464099746
Blake Snell LAN,L,0.121543211,3.3978,0.118813335,3.42,0.028500015,0.041688889,0.020844445,0.120523733,0.117816754,0.020669606,3.426300015
Tyler Glasnow LAN,R,0.129744859,3.4183,0.129706664,3.17,-0.088999989,0.04551111,0.022755555,0.133122939,0.133083749,0.023348026,3.329300011
Logan Webb SFN,R,0.132512495,3.4755,0.121220004,3.38,0.007299909,0.042533335,0.021266667,0.132234167,0.120965394,0.021221999,3.482799909
Aroldis Chapman BOS,L,#DIV/0!,3.5001,0.103740001,3.48,0.040699946,0.0364,0.0182,#DIV/0!,0.102533689,0.017988366,3.540799946
Jacob deGrom TEX,R,0.12474966,3.5193,0.118623331,3.04,-0.148900012,0.041622222,0.020811111,0.130027762,0.123642232,0.02169162,3.370399988
Jesus Luzardo PHI,L,0.112758285,3.5318,0.109313334,3.34,-0.152499959,0.038355556,0.019177778,0.117627087,0.114033386,0.020005857,3.379300041
Kyle Bradish BAL,R,0.108769288,3.5444,0.110769997,3.36,0.075400011,0.038866666,0.019433333,0.106455439,0.108413587,0.019019928,3.619800011
Chase Burns CIN,R,0.110277779,3.5531,0.115013336,3.26,-0.198500141,0.040355556,0.020177778,0.11643864,0.121438757,0.021305045,3.354599859
Nathan Eovaldi TEX,R,0.117986969,3.5537,0.112353329,3.33,-0.008100018,0.039422221,0.01971111,0.118255899,0.112609418,0.019756038,3.545599982
Justin Martinez ARI,R,#DIV/0!,3.5588,0.100319999,3.77,0.035199952,0.0352,0.0176,#DIV/0!,0.099327738,0.017425919,3.593999952
Felix Bautista BAL,R,#DIV/0!,3.562,0.106969999,3.43,0.007699943,0.037533333,0.018766666,#DIV/0!,0.106738763,0.018726099,3.569699943
